date,open,high,low,close,volume
1445929080000,1897.07,1897.28,1894.9,1894.91,552.309
1445929140000,1894.9,1895.0,1892.0,1893.5,778.61
1445929200000,1893.49,1895.31,1893.3,1894.9,510.68
1445929260000,1894.9,1896.08,1894.42,1895.41,523.558
1445929320000,1895.41,1895.7,1894.04,1895.7,251.748
1445929380000,1895.69,1896.98,1895.69,1896.55,228.99
1445929440000,1896.55,1897.3,1896.0,1896.27,252.685
1445929500000,1896.25,1896.37,1894.81,1894.95,323.627
1445929560000,1894.95,1896.5,1894.43,1895.7,444.327
1445929620000,1895.78,1897.0,1895.41,1896.85,321.92
1445929680000,1896.96,1897.76,1895.81,1896.53,458.584
1445929740000,1896.82,1897.37,1895.81,1897.15,462.901
1445929860000,1897.75,1900.0,1897.75,1899.7,476.232
1445929920000,1899.7,1900.87,1899.34,1900.34,792.921
1445929980000,1900.47,1900.67,1897.7,1898.07,365.814
1445930040000,1898.07,1899.0,1897.2,1897.93,270.901
1445930100000,1897.92,1898.69,1897.53,1898.25,169.046
1445930160000,1898.22,1898.78,1897.2,1898.45,359.931
1445930220000,1898.45,1898.6,1897.0,1897.0,213.945
1445930280000,1897.03,1897.51,1896.1,1896.64,355.866
1445930340000,1896.61,1896.69,1895.0,1895.16,526.335
1445930400000,1895.16,1895.37,1893.93,1893.94,169.221
1445930460000,1893.93,1894.0,1891.89,1892.58,271.709
1445930520000,1892.57,1892.57,1888.0,1889.86,693.936
1445930580000,1889.86,1891.0,1889.15,1889.73,578.932
1445930640000,1889.73,1889.73,1885.23,1886.12,648.953
1445930700000,1886.12,1886.2,1882.21,1882.24,1534.8
1445930760000,1883.08,1885.38,1882.0,1883.0,817.725
1445930820000,1883.0,1884.08,1877.17,1877.17,1483.931
1445930880000,1877.15,1884.95,1876.0,1882.6,1462.846
1445930940000,1882.55,1883.48,1882.0,1882.0,615.835
1445931000000,1882.0,1883.86,1881.57,1882.36,665.648
1445931060000,1882.35,1885.44,1882.35,1885.0,499.95
1445931120000,1885.0,1885.93,1885.0,1885.22,265.177
1445931180000,1885.22,1886.0,1881.96,1882.85,709.892
1445931240000,1882.85,1885.45,1880.0,1880.48,791.439
1445931300000,1880.48,1883.5,1879.9,1883.26,732.144
1445931360000,1883.22,1883.78,1882.6,1883.73,236.32
1445931420000,1883.73,1883.95,1882.61,1882.61,169.041
1445931480000,1882.55,1883.28,1878.13,1879.03,1048.982
1445931540000,1879.03,1882.4,1879.01,1881.51,492.727
1445931600000,1881.52,1881.56,1879.5,1879.61,422.108
1445931660000,1879.62,1881.2,1879.29,1880.76,593.95
1445931720000,1880.76,1881.48,1880.26,1880.38,168.679
1445931780000,1880.38,1880.38,1879.29,1880.02,444.59
1445931840000,1880.07,1880.75,1879.46,1880.66,369.774
1445931960000,1882.71,1884.34,1882.6,1884.33,738.363
1445932020000,1884.24,1884.8,1883.63,1884.33,744.979
1445932080000,1884.58,1885.14,1884.33,1884.83,374.069
1445932140000,1884.83,1884.84,1883.5,1884.32,591.79
1445932200000,1884.46,1884.83,1883.5,1884.24,485.921
1445932260000,1884.31,1884.55,1883.5,1883.97,162.208
1445932320000,1883.97,1884.42,1883.79,1884.23,207.1
1445932380000,1884.22,1884.8,1884.2,1884.23,396.281
1445932440000,1884.27,1884.41,1881.53,1881.68,672.15
1445932500000,1881.68,1882.13,1880.2,1880.66,720.302
1445932560000,1880.57,1880.96,1879.25,1879.25,753.571
1445932620000,1879.29,1879.59,1876.89,1876.9,1007.734
1445932680000,1877.15,1877.98,1875.0,1875.0,1715.737
1445932740000,1875.0,1876.41,1872.5,1875.95,1405.508
1445932800000,1875.95,1880.8,1875.94,1879.88,836.603
1445932860000,1879.9,1880.02,1878.91,1879.97,360.358
1445932920000,1879.97,1881.32,1879.89,1880.36,471.892
1445932980000,1880.36,1880.46,1879.07,1879.98,339.19
1445933040000,1879.96,1883.0,1879.95,1882.22,688.13
1445933100000,1882.26,1882.46,1881.06,1881.73,315.931
1445933160000,1881.73,1883.58,1880.69,1883.05,316.878
1445933220000,1883.05,1884.0,1882.5,1882.89,369.192
1445933280000,1882.9,1884.93,1882.79,1884.1,368.141
1445933340000,1884.1,1885.07,1883.98,1884.94,640.077
1445933400000,1884.94,1886.8,1884.94,1885.99,682.6
1445933460000,1885.99,1886.2,1884.96,1885.08,553.797
1445933520000,1885.08,1885.37,1885.0,1885.31,307.258
1445933580000,1885.31,1885.49,1885.01,1885.24,167.49
1445933640000,1885.24,1885.5,1885.0,1885.02,161.751
1445933700000,1885.0,1885.8,1883.4,1885.08,562.678
1445933760000,1885.08,1885.75,1885.0,1885.3,180.607
1445933820000,1885.3,1885.32,1883.99,1885.0,325.195
1445933880000,1884.99,1885.07,1884.6,1884.79,207.377
1445933940000,1884.79,1885.0,1884.3,1884.48,197.536
1445934000000,1884.48,1884.74,1883.32,1883.76,152.063
1445934060000,1883.74,1885.0,1883.64,1885.0,177.77
